x,y,z,b,b_delta
0,0,0,0,0
0.754,0.305,0.582,2,1
1,0,0,2,0.004
-0.754,0.305,0.582,2,1
0.771,-0.637,0,2,1
0.5,-0.309,0.809,2,-0.5
0,0.526,-0.851,1.4,1
-1,0,0,0.7,0.004
0,0.526,0.851,0.1,-0.5
-0.277,0.942,0.188,2,1
0.309,-0.809,0.5,2,-0.5
0.577,0.577,0.577,1.4,1
0,0,-1,2,0.004
0,-1,0,1.4,0.004
0,0.934,-0.357,1,-0.5
0.305,0.582,0.754,2,1
0,0,1,1.4,0.004
0.526,0.851,0,0.1,-0.5
-0.851,0,0.526,0.1,-0.5
0,0,1,0.1,0.004
0.577,0.577,0.577,1,-0.5
0.637,0,0.771,2,1
0.809,0.5,0.309,2,-0.5
0.942,0.188,0.277,2,1
0.851,0,0.526,0.1,-0.5
0.582,-0.754,0.305,2,1
0,0.771,-0.637,2,1
-0.277,0.942,-0.188,2,1
-0.5,0.309,0.809,2,-0.5
0.309,0.809,0.5,2,-0.5
0.526,-0.851,0,0.1,1
-0.809,0.5,0.309,2,-0.5
0.305,-0.582,0.754,2,1
0.754,-0.305,0.582,2,1
-1,0,0,1.4,0.004
0.526,-0.851,0,0.1,-0.5
0,0.934,0.357,1,-0.5
0.526,0.851,0,1.4,1
0,1,0,1.4,0.004
0,1,0,2,-0.5
1,0,0,0.1,0.004
0,-1,0,0.7,0.004
0,0.526,0.851,0.1,1
0.934,0.357,0,1.4,1
0.809,-0.5,0.309,2,-0.5
0.942,-0.188,0.277,2,1
0,0,-1,2,0.004
0,-1,0,0.1,0.004
0.577,-0.577,0.577,1.4,1
1,0,0,2,-0.5
0,0.934,0.357,1.4,1
-0.309,0.809,0.5,2,-0.5
0,0,-1,1.4,0.004
0.582,0.754,0.305,2,1
0.277,0.942,-0.188,2,1
0,0.934,-0.357,1.4,1
0.526,-0.851,0,0.7,1
0,0,1,2,0.004
-1,0,0,0.1,0.004
0.771,0.637,0,2,1
-0.357,0,0.934,1.4,1
0.5,0.309,0.809,2,-0.5
0,1,0,0.1,0.004
0,0,-1,0.7,0.004
-0.305,0.582,0.754,2,1
0.188,-0.277,0.942,2,1
0,1,0,2,0.004
-0.851,0,0.526,0.1,1
0.851,0,0.526,0.1,1
0,0.526,-0.851,0.1,-0.5
-1,0,0,2,0.004
0,0.771,0.637,2,1
-0.357,0,0.934,1,-0.5
0.277,0.942,0.188,2,1
0.934,-0.357,0,1,-0.5
-0.851,0,0.526,1.4,1
0,1,0,1.4,0.004
-0.188,-0.277,0.942,2,1
-0.188,0.277,0.942,2,1
-0.5,-0.309,0.809,2,-0.5
0.357,0,0.934,1.4,1
0.754,0.305,-0.582,2,1
0.809,0.5,-0.309,2,-0.5
0.942,0.188,-0.277,2,1
0,0,1,2,-0.5
-0.582,0.754,0.305,2,1
-0.577,0.577,0.577,1,-0.5
0.526,0.851,0,0.1,1
0.577,0.577,-0.577,1,-0.5
-0.851,0,0.526,0.7,1
1,0,0,1.4,0.004
0.934,0.357,0,1,-0.5
-1,0,0,1.4,0.004
0.577,0.577,-0.577,1.4,1
0.851,0,0.526,0.7,1
0.851,0,0.526,1.4,1
0.305,0.582,-0.754,2,1
1,0,0,1.4,0.004
0.526,0.851,0,0.7,1
0,-1,0,2,0.004
0,0.526,-0.851,0.1,1
0.577,-0.577,0.577,1,-0.5
0,0,-1,0.1,0.004
0.357,0,0.934,1,-0.5
1,0,0,0.7,0.004
0.526,-0.851,0,1.4,1
1,0,0,2,0.004
-0.637,0,0.771,2,1
0,0.526,0.851,0.7,1
0.309,0.809,-0.5,2,-0.5
0.582,0.754,-0.305,2,1
-0.577,0.577,0.577,1.4,1
0,-1,0,1.4,0.004
0.188,0.277,0.942,2,1
0.934,-0.357,0,1.4,1
0,0,1,2,0.004
0,0.526,-0.851,0.7,1
0,1,0,0.7,0.004
0,0.526,0.851,1.4,1
0.942,-0.188,-0.277,2,1
-1,0,0,2,0.004
0,0,1,0.7,0.004
