x,y,z,b,b_delta
0,0,0,0,0
0.934,0.357,0,1.4,1
0,-1,0,2,0.004
-1,0,0,0.7,0.004
1,0,0,1.4,0.004
0.526,-0.851,0,0.1,1
0.5,0.309,0.809,2,1
0,0,1,2,1
0,-1,0,1.4,0.004
0.809,0.5,0.309,2,1
0,0.526,-0.851,0.1,1
0,0,-1,2,0.004
0,0.934,-0.357,1.4,1
-0.5,0.309,0.809,2,1
0.526,0.851,0,0.7,1
0.577,-0.577,0.577,1.4,1
0,0,1,0.7,0.004
0,0,-1,2,0.004
0,0,1,0.1,0.004
0.5,-0.309,0.809,2,1
0,0.526,0.851,0.1,1
1,0,0,2,0.004
0.577,0.577,0.577,1.4,1
-1,0,0,1.4,0.004
0.934,-0.357,0,1.4,1
0,0.526,-0.851,2,1
1,0,0,0.7,0.004
0,0,1,2,0.004
-0.309,0.809,0.5,2,1
-0.851,0,0.526,0.7,1
0,0,-1,0.1,0.004
1,0,0,1.4,0.004
0,1,0,2,0.004
0.357,0,0.934,1.4,1
-0.5,-0.309,0.809,2,1
1,0,0,0.1,0.004
0,-1,0,1.4,0.004
-1,0,0,2,0.004
-0.577,0.577,0.577,1.4,1
0,1,0,0.7,0.004
0,0,-1,2,0.004
-0.851,0,0.526,0.1,1
0.809,-0.5,0.309,2,1
0.309,0.809,0.5,2,1
-1,0,0,2,0.004
0,0,-1,0.7,0.004
0,-1,0,0.1,0.004
-0.809,0.5,0.309,2,1
0,1,0,1.4,0.004
0.526,-0.851,0,0.7,1
0,0.526,0.851,2,1
0.851,0,0.526,0.7,1
1,0,0,2,0.004
0,1,0,2,1
-0.851,0,0.526,2,1
0.851,0,0.526,2,1
-0.357,0,0.934,1.4,1
0,0,1,2,0.004
0.309,0.809,-0.5,2,1
0,0.934,0.357,1.4,1
0,0,1,2,0.004
1,0,0,2,1
0,1,0,1.4,0.004
0.851,0,0.526,0.1,1
-1,0,0,0.1,0.004
1,0,0,2,0.004
0.809,0.5,-0.309,2,1
0.526,0.851,0,0.1,1
0.309,-0.809,0.5,2,1
0,0,-1,1.4,0.004
0,0.526,-0.851,0.7,1
-1,0,0,1.4,0.004
0.577,0.577,-0.577,1.4,1
0,1,0,2,0.004
0,-1,0,0.7,0.004
0,0.526,0.851,0.7,1
0,0,1,1.4,0.004
0.526,-0.851,0,2,1
0.526,0.851,0,2,1
0,1,0,0.1,0.004
0,-1,0,2,0.004
