x,y,z,b,b_delta
0,0,0,0,0
-1,0,0,1,0.004
0,0,1,2,1
0,0,1,2,0.004
-0.809,0.5,0.309,2,1
0.309,0.809,0.5,2,1
0,0,1,1,0.004
-1,0,0,0.1,0.004
0,1,0,2,1
0,1,0,1,0.004
-0.5,-0.309,0.809,2,1
0,-1,0,1,0.004
0,0,1,0.1,0.004
1,0,0,1,0.004
1,0,0,2,0.004
0.934,-0.357,0,1,1
-0.309,0.809,0.5,2,1
0,-1,0,1,0.004
0.577,0.577,0.577,1,1
0,1,0,1,0.004
0.5,0.309,0.809,2,1
0.5,-0.309,0.809,2,1
-0.577,0.577,0.577,1,1
0,0,-1,1,0.004
0.309,-0.809,0.5,2,1
-1,0,0,1,0.004
0.934,0.357,0,1,1
0.309,0.809,-0.5,2,1
-1,0,0,2,0.004
0.357,0,0.934,1,1
1,0,0,0.1,0.004
0.624,-0.779,0.062,0.1,1
0,0,1,2,0.004
1,0,0,1,0.004
0.809,0.5,0.309,2,1
0.577,0.577,-0.577,1,1
0,0,-1,0.1,0.004
-0.5,0.309,0.809,2,1
1,0,0,2,0.004
0.577,-0.577,0.577,1,1
0,1,0,0.1,0.004
0,0.934,-0.357,1,1
0.809,0.5,-0.309,2,1
0,-1,0,2,0.004
0.809,-0.5,0.309,2,1
-0.357,0,0.934,1,1
0,0.934,0.357,1,1
0,0,-1,2,0.004
-1,0,0,2,0.004
1,0,0,2,1
-0.941,-0.315,0.128,0.1,1
0.089,0.428,-0.899,0.1,1
-0.228,-0.666,-0.71,0.1,1
0,0,-1,2,0.004
0,-1,0,0.1,0.004
0,1,0,2,0.004
